"X","T1_Spelling","T1_ID","T1_Seed","T2_Spelling","T2_ID","T2_Seed","Pred"
54,"south carolina",3376,1,"jackson state",3238,14,0.985073745250702
55,"south carolina",3376,1,"rice",3349,14,0.985073745250702
56,"south carolina",3376,1,"eastern washington",3186,14,0.985073745250702
57,"south carolina",3376,1,"maine",3263,15,0.985073745250702
58,"south carolina",3376,1,"california baptist",3465,15,0.985073745250702
59,"south carolina",3376,1,"kent state",3245,15,0.985073745250702
60,"south carolina",3376,1,"norfolk state",3313,15,0.985073745250702
61,"south carolina",3376,1,"sacred heart",3357,16,0.985073745250702
62,"south carolina",3376,1,"holy cross",3221,16,0.985073745250702
63,"south carolina",3376,1,"presbyterian",3342,16,0.985073745250702
64,"south carolina",3376,1,"drexel",3180,16,0.985073745250702
65,"south carolina",3376,1,"ut martin",3404,16,0.985073745250702
66,"south carolina",3376,1,"a&m-corpus christi",3394,16,0.985073745250702
67,"usc",3425,1,"texas",3400,1,0.565175354480743
68,"usc",3425,1,"iowa",3234,1,0.565175354480743
69,"usc",3425,1,"ohio state",3326,2,0.633468925952911
70,"usc",3425,1,"notre dame",3323,2,0.633468925952911
71,"usc",3425,1,"ucla",3417,2,0.633468925952911
72,"usc",3425,1,"stanford",3390,2,0.633468925952911
73,"usc",3425,1,"lsu",3261,3,0.829199850559235
74,"usc",3425,1,"uconn",3163,3,0.829199850559235
75,"usc",3425,1,"nc state",3301,3,0.829199850559235
76,"usc",3425,1,"oregon state",3333,3,0.829199850559235
77,"usc",3425,1,"virginia tech",3439,4,0.717206537723541
78,"usc",3425,1,"kansas state",3243,4,0.717206537723541
79,"usc",3425,1,"indiana",3231,4,0.717206537723541
80,"usc",3425,1,"gonzaga",3211,4,0.717206537723541
81,"usc",3425,1,"baylor",3124,5,0.800915718078613
82,"usc",3425,1,"colorado",3160,5,0.800915718078613
83,"usc",3425,1,"utah",3428,5,0.800915718078613
84,"usc",3425,1,"oklahoma",3328,5,0.800915718078613
85,"usc",3425,1,"tennessee",3397,6,0.74879002571106
86,"usc",3425,1,"nebraska",3304,6,0.74879002571106
87,"usc",3425,1,"syracuse",3393,6,0.74879002571106
88,"usc",3425,1,"louisville",3257,6,0.74879002571106
89,"usc",3425,1,"duke",3181,7,0.870427012443542
90,"usc",3425,1,"ole miss",3279,7,0.870427012443542
91,"usc",3425,1,"creighton",3166,7,0.870427012443542
92,"usc",3425,1,"iowa state",3235,7,0.870427012443542
93,"usc",3425,1,"kansas",3242,8,0.853090286254883
94,"usc",3425,1,"alabama",3104,8,0.853090286254883
95,"usc",3425,1,"north carolina",3314,8,0.853090286254883
96,"usc",3425,1,"west virginia",3452,8,0.853090286254883
97,"usc",3425,1,"michigan",3276,9,0.797921359539032
98,"usc",3425,1,"florida state",3199,9,0.797921359539032
99,"usc",3425,1,"michigan state",3277,9,0.797921359539032
100,"usc",3425,1,"princeton",3343,9,0.797921359539032
101,"usc",3425,1,"richmond",3350,10,0.902432858943939
102,"usc",3425,1,"marquette",3266,10,0.902432858943939
103,"usc",3425,1,"unlv",3424,10,0.902432858943939
104,"usc",3425,1,"maryland",3268,10,0.902432858943939
105,"usc",3425,1,"middle tennessee",3292,11,0.902432858943939
106,"usc",3425,1,"texas a&m",3401,11,0.902432858943939
107,"usc",3425,1,"green bay",3453,11,0.902432858943939
108,"usc",3425,1,"auburn",3120,11,0.902432858943939
109,"usc",3425,1,"arizona",3112,11,0.902432858943939
110,"usc",3425,1,"florida gulf coast",3195,12,0.985073745250702
111,"usc",3425,1,"south dakota state",3355,12,0.985073745250702
112,"usc",3425,1,"columbia",3162,12,0.985073745250702
113,"usc",3425,1,"vanderbilt",3435,12,0.985073745250702
114,"usc",3425,1,"drake",3179,12,0.985073745250702
115,"usc",3425,1,"portland",3339,13,0.985073745250702
116,"usc",3425,1,"fairfield",3193,13,0.985073745250702
117,"usc",3425,1,"marshall",3267,13,0.985073745250702
118,"usc",3425,1,"uc irvine",3414,13,0.985073745250702
119,"usc",3425,1,"chattanooga",3151,14,0.985073745250702
120,"usc",3425,1,"jackson state",3238,14,0.985073745250702
121,"usc",3425,1,"rice",3349,14,0.985073745250702
122,"usc",3425,1,"eastern washington",3186,14,0.985073745250702
123,"usc",3425,1,"maine",3263,15,0.985073745250702
124,"usc",3425,1,"california baptist",3465,15,0.985073745250702
125,"usc",3425,1,"kent state",3245,15,0.985073745250702
126,"usc",3425,1,"norfolk state",3313,15,0.985073745250702
127,"usc",3425,1,"sacred heart",3357,16,0.985073745250702
128,"usc",3425,1,"holy cross",3221,16,0.985073745250702
129,"usc",3425,1,"presbyterian",3342,16,0.985073745250702
130,"usc",3425,1,"drexel",3180,16,0.985073745250702
131,"usc",3425,1,"ut martin",3404,16,0.985073745250702
132,"usc",3425,1,"a&m-corpus christi",3394,16,0.985073745250702
133,"texas",3400,1,"iowa",3234,1,0.565175354480743
134,"texas",3400,1,"ohio state",3326,2,0.633468925952911
135,"texas",3400,1,"notre dame",3323,2,0.633468925952911
136,"texas",3400,1,"ucla",3417,2,0.633468925952911
137,"texas",3400,1,"stanford",3390,2,0.633468925952911
138,"texas",3400,1,"lsu",3261,3,0.829199850559235
139,"texas",3400,1,"uconn",3163,3,0.829199850559235
140,"texas",3400,1,"nc state",3301,3,0.829199850559235
141,"texas",3400,1,"oregon state",3333,3,0.829199850559235
142,"texas",3400,1,"virginia tech",3439,4,0.717206537723541
143,"texas",3400,1,"kansas state",3243,4,0.717206537723541
144,"texas",3400,1,"indiana",3231,4,0.717206537723541
145,"texas",3400,1,"gonzaga",3211,4,0.717206537723541
146,"texas",3400,1,"baylor",3124,5,0.800915718078613
147,"texas",3400,1,"colorado",3160,5,0.800915718078613
148,"texas",3400,1,"utah",3428,5,0.800915718078613
149,"texas",3400,1,"oklahoma",3328,5,0.800915718078613
150,"texas",3400,1,"tennessee",3397,6,0.74879002571106
151,"texas",3400,1,"nebraska",3304,6,0.74879002571106
152,"texas",3400,1,"syracuse",3393,6,0.74879002571106
153,"texas",3400,1,"louisville",3257,6,0.74879002571106
154,"texas",3400,1,"duke",3181,7,0.870427012443542
155,"texas",3400,1,"ole miss",3279,7,0.870427012443542
156,"texas",3400,1,"creighton",3166,7,0.870427012443542
157,"texas",3400,1,"iowa state",3235,7,0.870427012443542
158,"texas",3400,1,"kansas",3242,8,0.853090286254883
159,"texas",3400,1,"alabama",3104,8,0.853090286254883
160,"texas",3400,1,"north carolina",3314,8,0.853090286254883
161,"texas",3400,1,"west virginia",3452,8,0.853090286254883
162,"texas",3400,1,"michigan",3276,9,0.797921359539032
163,"texas",3400,1,"florida state",3199,9,0.797921359539032
164,"texas",3400,1,"michigan state",3277,9,0.797921359539032
165,"texas",3400,1,"princeton",3343,9,0.797921359539032
166,"texas",3400,1,"richmond",3350,10,0.902432858943939
167,"texas",3400,1,"marquette",3266,10,0.902432858943939
168,"texas",3400,1,"unlv",3424,10,0.902432858943939
169,"texas",3400,1,"maryland",3268,10,0.902432858943939
170,"texas",3400,1,"middle tennessee",3292,11,0.902432858943939
171,"texas",3400,1,"texas a&m",3401,11,0.902432858943939
172,"texas",3400,1,"green bay",3453,11,0.902432858943939
173,"texas",3400,1,"auburn",3120,11,0.902432858943939
174,"texas",3400,1,"arizona",3112,11,0.902432858943939
175,"texas",3400,1,"florida gulf coast",3195,12,0.985073745250702
176,"texas",3400,1,"south dakota state",3355,12,0.985073745250702
177,"texas",3400,1,"columbia",3162,12,0.985073745250702
178,"texas",3400,1,"vanderbilt",3435,12,0.985073745250702
179,"texas",3400,1,"drake",3179,12,0.985073745250702
180,"texas",3400,1,"portland",3339,13,0.985073745250702
181,"texas",3400,1,"fairfield",3193,13,0.985073745250702
182,"texas",3400,1,"marshall",3267,13,0.985073745250702
183,"texas",3400,1,"uc irvine",3414,13,0.985073745250702
184,"texas",3400,1,"chattanooga",3151,14,0.985073745250702
185,"texas",3400,1,"jackson state",3238,14,0.985073745250702
186,"texas",3400,1,"rice",3349,14,0.985073745250702
187,"texas",3400,1,"eastern washington",3186,14,0.985073745250702
188,"texas",3400,1,"maine",3263,15,0.985073745250702
189,"texas",3400,1,"california baptist",3465,15,0.985073745250702
190,"texas",3400,1,"kent state",3245,15,0.985073745250702
191,"texas",3400,1,"norfolk state",3313,15,0.985073745250702
192,"texas",3400,1,"sacred heart",3357,16,0.985073745250702
193,"texas",3400,1,"holy cross",3221,16,0.985073745250702
194,"texas",3400,1,"presbyterian",3342,16,0.985073745250702
195,"texas",3400,1,"drexel",3180,16,0.985073745250702
196,"texas",3400,1,"ut martin",3404,16,0.985073745250702
197,"texas",3400,1,"a&m-corpus christi",3394,16,0.985073745250702
198,"iowa",3234,1,"ohio state",3326,2,0.633468925952911
199,"iowa",3234,1,"notre dame",3323,2,0.633468925952911
200,"iowa",3234,1,"ucla",3417,2,0.633468925952911
201,"iowa",3234,1,"stanford",3390,2,0.633468925952911
202,"iowa",3234,1,"lsu",3261,3,0.829199850559235
203,"iowa",3234,1,"uconn",3163,3,0.829199850559235
204,"iowa",3234,1,"nc state",3301,3,0.829199850559235
205,"iowa",3234,1,"oregon state",3333,3,0.829199850559235
206,"iowa",3234,1,"virginia tech",3439,4,0.717206537723541
207,"iowa",3234,1,"kansas state",3243,4,0.717206537723541
208,"iowa",3234,1,"indiana",3231,4,0.717206537723541
209,"iowa",3234,1,"gonzaga",3211,4,0.717206537723541
210,"iowa",3234,1,"baylor",3124,5,0.800915718078613
211,"iowa",3234,1,"colorado",3160,5,0.800915718078613
212,"iowa",3234,1,"utah",3428,5,0.800915718078613
213,"iowa",3234,1,"oklahoma",3328,5,0.800915718078613
214,"iowa",3234,1,"tennessee",3397,6,0.74879002571106
215,"iowa",3234,1,"nebraska",3304,6,0.74879002571106
216,"iowa",3234,1,"syracuse",3393,6,0.74879002571106
217,"iowa",3234,1,"louisville",3257,6,0.74879002571106
218,"iowa",3234,1,"duke",3181,7,0.870427012443542
219,"iowa",3234,1,"ole miss",3279,7,0.870427012443542
220,"iowa",3234,1,"creighton",3166,7,0.870427012443542
221,"iowa",3234,1,"iowa state",3235,7,0.870427012443542
222,"iowa",3234,1,"kansas",3242,8,0.853090286254883
223,"iowa",3234,1,"alabama",3104,8,0.853090286254883
224,"iowa",3234,1,"north carolina",3314,8,0.853090286254883
225,"iowa",3234,1,"west virginia",3452,8,0.853090286254883
226,"iowa",3234,1,"michigan",3276,9,0.797921359539032
227,"iowa",3234,1,"florida state",3199,9,0.797921359539032
228,"iowa",3234,1,"michigan state",3277,9,0.797921359539032
229,"iowa",3234,1,"princeton",3343,9,0.797921359539032
230,"iowa",3234,1,"richmond",3350,10,0.902432858943939
231,"iowa",3234,1,"marquette",3266,10,0.902432858943939
232,"iowa",3234,1,"unlv",3424,10,0.902432858943939
233,"iowa",3234,1,"maryland",3268,10,0.902432858943939
234,"iowa",3234,1,"middle tennessee",3292,11,0.902432858943939
235,"iowa",3234,1,"texas a&m",3401,11,0.902432858943939
236,"iowa",3234,1,"green bay",3453,11,0.902432858943939
237,"iowa",3234,1,"auburn",3120,11,0.902432858943939
238,"iowa",3234,1,"arizona",3112,11,0.902432858943939
239,"iowa",3234,1,"florida gulf coast",3195,12,0.985073745250702
240,"iowa",3234,1,"south dakota state",3355,12,0.985073745250702
241,"iowa",3234,1,"columbia",3162,12,0.985073745250702
242,"iowa",3234,1,"vanderbilt",3435,12,0.985073745250702
243,"iowa",3234,1,"drake",3179,12,0.985073745250702
244,"iowa",3234,1,"portland",3339,13,0.985073745250702
245,"iowa",3234,1,"fairfield",3193,13,0.985073745250702
246,"iowa",3234,1,"marshall",3267,13,0.985073745250702
247,"iowa",3234,1,"uc irvine",3414,13,0.985073745250702
248,"iowa",3234,1,"chattanooga",3151,14,0.985073745250702
249,"iowa",3234,1,"jackson state",3238,14,0.985073745250702
250,"iowa",3234,1,"rice",3349,14,0.985073745250702
251,"iowa",3234,1,"eastern washington",3186,14,0.985073745250702
252,"iowa",3234,1,"maine",3263,15,0.985073745250702
253,"iowa",3234,1,"california baptist",3465,15,0.985073745250702
254,"iowa",3234,1,"kent state",3245,15,0.985073745250702
255,"iowa",3234,1,"norfolk state",3313,15,0.985073745250702
256,"iowa",3234,1,"sacred heart",3357,16,0.985073745250702
257,"iowa",3234,1,"holy cross",3221,16,0.985073745250702
258,"iowa",3234,1,"presbyterian",3342,16,0.985073745250702
259,"iowa",3234,1,"drexel",3180,16,0.985073745250702
260,"iowa",3234,1,"ut martin",3404,16,0.985073745250702
261,"iowa",3234,1,"a&m-corpus christi",3394,16,0.985073745250702
262,"ohio state",3326,2,"notre dame",3323,2,0.565175354480743
263,"ohio state",3326,2,"ucla",3417,2,0.565175354480743
264,"ohio state",3326,2,"stanford",3390,2,0.565175354480743
265,"ohio state",3326,2,"lsu",3261,3,0.633468925952911
266,"ohio state",3326,2,"uconn",3163,3,0.633468925952911
267,"ohio state",3326,2,"nc state",3301,3,0.633468925952911
268,"ohio state",3326,2,"oregon state",3333,3,0.633468925952911
269,"ohio state",3326,2,"virginia tech",3439,4,0.829199850559235
270,"ohio state",3326,2,"kansas state",3243,4,0.829199850559235
271,"ohio state",3326,2,"indiana",3231,4,0.829199850559235
272,"ohio state",3326,2,"gonzaga",3211,4,0.829199850559235
273,"ohio state",3326,2,"baylor",3124,5,0.717206537723541
274,"ohio state",3326,2,"colorado",3160,5,0.717206537723541
275,"ohio state",3326,2,"utah",3428,5,0.717206537723541
276,"ohio state",3326,2,"oklahoma",3328,5,0.717206537723541
277,"ohio state",3326,2,"tennessee",3397,6,0.800915718078613
278,"ohio state",3326,2,"nebraska",3304,6,0.800915718078613
279,"ohio state",3326,2,"syracuse",3393,6,0.800915718078613
280,"ohio state",3326,2,"louisville",3257,6,0.800915718078613
281,"ohio state",3326,2,"duke",3181,7,0.74879002571106
282,"ohio state",3326,2,"ole miss",3279,7,0.74879002571106
283,"ohio state",3326,2,"creighton",3166,7,0.74879002571106
284,"ohio state",3326,2,"iowa state",3235,7,0.74879002571106
285,"ohio state",3326,2,"kansas",3242,8,0.870427012443542
286,"ohio state",3326,2,"alabama",3104,8,0.870427012443542
287,"ohio state",3326,2,"north carolina",3314,8,0.870427012443542
288,"ohio state",3326,2,"west virginia",3452,8,0.870427012443542
289,"ohio state",3326,2,"michigan",3276,9,0.853090286254883
290,"ohio state",3326,2,"florida state",3199,9,0.853090286254883
291,"ohio state",3326,2,"michigan state",3277,9,0.853090286254883
292,"ohio state",3326,2,"princeton",3343,9,0.853090286254883
293,"ohio state",3326,2,"richmond",3350,10,0.797921359539032
294,"ohio state",3326,2,"marquette",3266,10,0.797921359539032
295,"ohio state",3326,2,"unlv",3424,10,0.797921359539032
296,"ohio state",3326,2,"maryland",3268,10,0.797921359539032
297,"ohio state",3326,2,"middle tennessee",3292,11,0.902432858943939
298,"ohio state",3326,2,"texas a&m",3401,11,0.902432858943939
299,"ohio state",3326,2,"green bay",3453,11,0.902432858943939
300,"ohio state",3326,2,"auburn",3120,11,0.902432858943939
301,"ohio state",3326,2,"arizona",3112,11,0.902432858943939
302,"ohio state",3326,2,"florida gulf coast",3195,12,0.902432858943939
303,"ohio state",3326,2,"south dakota state",3355,12,0.902432858943939
304,"ohio state",3326,2,"columbia",3162,12,0.902432858943939
305,"ohio state",3326,2,"vanderbilt",3435,12,0.902432858943939
306,"ohio state",3326,2,"drake",3179,12,0.902432858943939
307,"ohio state",3326,2,"portland",3339,13,0.985073745250702
308,"ohio state",3326,2,"fairfield",3193,13,0.985073745250702
309,"ohio state",3326,2,"marshall",3267,13,0.985073745250702
310,"ohio state",3326,2,"uc irvine",3414,13,0.985073745250702
311,"ohio state",3326,2,"chattanooga",3151,14,0.985073745250702
312,"ohio state",3326,2,"jackson state",3238,14,0.985073745250702
313,"ohio state",3326,2,"rice",3349,14,0.985073745250702
314,"ohio state",3326,2,"eastern washington",3186,14,0.985073745250702
315,"ohio state",3326,2,"maine",3263,15,0.985073745250702
316,"ohio state",3326,2,"california baptist",3465,15,0.985073745250702
317,"ohio state",3326,2,"kent state",3245,15,0.985073745250702
318,"ohio state",3326,2,"norfolk state",3313,15,0.985073745250702
319,"ohio state",3326,2,"sacred heart",3357,16,0.985073745250702
320,"ohio state",3326,2,"holy cross",3221,16,0.985073745250702
321,"ohio state",3326,2,"presbyterian",3342,16,0.985073745250702
322,"ohio state",3326,2,"drexel",3180,16,0.985073745250702
323,"ohio state",3326,2,"ut martin",3404,16,0.985073745250702
324,"ohio state",3326,2,"a&m-corpus christi",3394,16,0.985073745250702
325,"notre dame",3323,2,"ucla",3417,2,0.565175354480743
326,"notre dame",3323,2,"stanford",3390,2,0.565175354480743
327,"notre dame",3323,2,"lsu",3261,3,0.633468925952911
328,"notre dame",3323,2,"uconn",3163,3,0.633468925952911
329,"notre dame",3323,2,"nc state",3301,3,0.633468925952911
330,"notre dame",3323,2,"oregon state",3333,3,0.633468925952911
331,"notre dame",3323,2,"virginia tech",3439,4,0.829199850559235
332,"notre dame",3323,2,"kansas state",3243,4,0.829199850559235
333,"notre dame",3323,2,"indiana",3231,4,0.829199850559235
334,"notre dame",3323,2,"gonzaga",3211,4,0.829199850559235
335,"notre dame",3323,2,"baylor",3124,5,0.717206537723541
336,"notre dame",3323,2,"colorado",3160,5,0.717206537723541
337,"notre dame",3323,2,"utah",3428,5,0.717206537723541
338,"notre dame",3323,2,"oklahoma",3328,5,0.717206537723541
339,"notre dame",3323,2,"tennessee",3397,6,0.800915718078613
340,"notre dame",3323,2,"nebraska",3304,6,0.800915718078613
341,"notre dame",3323,2,"syracuse",3393,6,0.800915718078613
342,"notre dame",3323,2,"louisville",3257,6,0.800915718078613
343,"notre dame",3323,2,"duke",3181,7,0.74879002571106
344,"notre dame",3323,2,"ole miss",3279,7,0.74879002571106
345,"notre dame",3323,2,"creighton",3166,7,0.74879002571106
346,"notre dame",3323,2,"iowa state",3235,7,0.74879002571106
347,"notre dame",3323,2,"kansas",3242,8,0.870427012443542
348,"notre dame",3323,2,"alabama",3104,8,0.870427012443542
349,"notre dame",3323,2,"north carolina",3314,8,0.870427012443542
350,"notre dame",3323,2,"west virginia",3452,8,0.870427012443542
351,"notre dame",3323,2,"michigan",3276,9,0.853090286254883
352,"notre dame",3323,2,"florida state",3199,9,0.853090286254883
353,"notre dame",3323,2,"michigan state",3277,9,0.853090286254883
354,"notre dame",3323,2,"princeton",3343,9,0.853090286254883
355,"notre dame",3323,2,"richmond",3350,10,0.797921359539032
356,"notre dame",3323,2,"marquette",3266,10,0.797921359539032
357,"notre dame",3323,2,"unlv",3424,10,0.797921359539032
358,"notre dame",3323,2,"maryland",3268,10,0.797921359539032
359,"notre dame",3323,2,"middle tennessee",3292,11,0.902432858943939
360,"notre dame",3323,2,"texas a&m",3401,11,0.902432858943939
361,"notre dame",3323,2,"green bay",3453,11,0.902432858943939
362,"notre dame",3323,2,"auburn",3120,11,0.902432858943939
363,"notre dame",3323,2,"arizona",3112,11,0.902432858943939
364,"notre dame",3323,2,"florida gulf coast",3195,12,0.902432858943939
365,"notre dame",3323,2,"south dakota state",3355,12,0.902432858943939
366,"notre dame",3323,2,"columbia",3162,12,0.902432858943939
367,"notre dame",3323,2,"vanderbilt",3435,12,0.902432858943939
368,"notre dame",3323,2,"drake",3179,12,0.902432858943939
369,"notre dame",3323,2,"portland",3339,13,0.985073745250702
370,"notre dame",3323,2,"fairfield",3193,13,0.985073745250702
371,"notre dame",3323,2,"marshall",3267,13,0.985073745250702
372,"notre dame",3323,2,"uc irvine",3414,13,0.985073745250702
373,"notre dame",3323,2,"chattanooga",3151,14,0.985073745250702
374,"notre dame",3323,2,"jackson state",3238,14,0.985073745250702
375,"notre dame",3323,2,"rice",3349,14,0.985073745250702
376,"notre dame",3323,2,"eastern washington",3186,14,0.985073745250702
377,"notre dame",3323,2,"maine",3263,15,0.985073745250702
378,"notre dame",3323,2,"california baptist",3465,15,0.985073745250702
379,"notre dame",3323,2,"kent state",3245,15,0.985073745250702
380,"notre dame",3323,2,"norfolk state",3313,15,0.985073745250702
381,"notre dame",3323,2,"sacred heart",3357,16,0.985073745250702
382,"notre dame",3323,2,"holy cross",3221,16,0.985073745250702
383,"notre dame",3323,2,"presbyterian",3342,16,0.985073745250702
384,"notre dame",3323,2,"drexel",3180,16,0.985073745250702
385,"notre dame",3323,2,"ut martin",3404,16,0.985073745250702
386,"notre dame",3323,2,"a&m-corpus christi",3394,16,0.985073745250702
387,"ucla",3417,2,"stanford",3390,2,0.565175354480743
388,"ucla",3417,2,"lsu",3261,3,0.633468925952911
389,"ucla",3417,2,"uconn",3163,3,0.633468925952911
390,"ucla",3417,2,"nc state",3301,3,0.633468925952911
391,"ucla",3417,2,"oregon state",3333,3,0.633468925952911
392,"ucla",3417,2,"virginia tech",3439,4,0.829199850559235
393,"ucla",3417,2,"kansas state",3243,4,0.829199850559235
394,"ucla",3417,2,"indiana",3231,4,0.829199850559235
395,"ucla",3417,2,"gonzaga",3211,4,0.829199850559235
396,"ucla",3417,2,"baylor",3124,5,0.717206537723541
397,"ucla",3417,2,"colorado",3160,5,0.717206537723541
398,"ucla",3417,2,"utah",3428,5,0.717206537723541
399,"ucla",3417,2,"oklahoma",3328,5,0.717206537723541
400,"ucla",3417,2,"tennessee",3397,6,0.800915718078613
401,"ucla",3417,2,"nebraska",3304,6,0.800915718078613
402,"ucla",3417,2,"syracuse",3393,6,0.800915718078613
403,"ucla",3417,2,"louisville",3257,6,0.800915718078613
404,"ucla",3417,2,"duke",3181,7,0.74879002571106
405,"ucla",3417,2,"ole miss",3279,7,0.74879002571106
406,"ucla",3417,2,"creighton",3166,7,0.74879002571106
407,"ucla",3417,2,"iowa state",3235,7,0.74879002571106
408,"ucla",3417,2,"kansas",3242,8,0.870427012443542
409,"ucla",3417,2,"alabama",3104,8,0.870427012443542
410,"ucla",3417,2,"north carolina",3314,8,0.870427012443542
411,"ucla",3417,2,"west virginia",3452,8,0.870427012443542
412,"ucla",3417,2,"michigan",3276,9,0.853090286254883
413,"ucla",3417,2,"florida state",3199,9,0.853090286254883
414,"ucla",3417,2,"michigan state",3277,9,0.853090286254883
415,"ucla",3417,2,"princeton",3343,9,0.853090286254883
416,"ucla",3417,2,"richmond",3350,10,0.797921359539032
417,"ucla",3417,2,"marquette",3266,10,0.797921359539032
418,"ucla",3417,2,"unlv",3424,10,0.797921359539032
419,"ucla",3417,2,"maryland",3268,10,0.797921359539032
420,"ucla",3417,2,"middle tennessee",3292,11,0.902432858943939
421,"ucla",3417,2,"texas a&m",3401,11,0.902432858943939
422,"ucla",3417,2,"green bay",3453,11,0.902432858943939
423,"ucla",3417,2,"auburn",3120,11,0.902432858943939
424,"ucla",3417,2,"arizona",3112,11,0.902432858943939
425,"ucla",3417,2,"florida gulf coast",3195,12,0.902432858943939
426,"ucla",3417,2,"south dakota state",3355,12,0.902432858943939
427,"ucla",3417,2,"columbia",3162,12,0.902432858943939
428,"ucla",3417,2,"vanderbilt",3435,12,0.902432858943939
429,"ucla",3417,2,"drake",3179,12,0.902432858943939
430,"ucla",3417,2,"portland",3339,13,0.985073745250702
431,"ucla",3417,2,"fairfield",3193,13,0.985073745250702
432,"ucla",3417,2,"marshall",3267,13,0.985073745250702
433,"ucla",3417,2,"uc irvine",3414,13,0.985073745250702
434,"ucla",3417,2,"chattanooga",3151,14,0.985073745250702
435,"ucla",3417,2,"jackson state",3238,14,0.985073745250702
436,"ucla",3417,2,"rice",3349,14,0.985073745250702
437,"ucla",3417,2,"eastern washington",3186,14,0.985073745250702
438,"ucla",3417,2,"maine",3263,15,0.985073745250702
439,"ucla",3417,2,"california baptist",3465,15,0.985073745250702
440,"ucla",3417,2,"kent state",3245,15,0.985073745250702
441,"ucla",3417,2,"norfolk state",3313,15,0.985073745250702
442,"ucla",3417,2,"sacred heart",3357,16,0.985073745250702
443,"ucla",3417,2,"holy cross",3221,16,0.985073745250702
444,"ucla",3417,2,"presbyterian",3342,16,0.985073745250702
445,"ucla",3417,2,"drexel",3180,16,0.985073745250702
446,"ucla",3417,2,"ut martin",3404,16,0.985073745250702
447,"ucla",3417,2,"a&m-corpus christi",3394,16,0.985073745250702
448,"stanford",3390,2,"lsu",3261,3,0.633468925952911
449,"stanford",3390,2,"uconn",3163,3,0.633468925952911
